video_name,tag
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_331.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_377.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_376.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_268.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_781.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_426.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_819.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_304.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_176.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_146.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_339.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_533.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_935.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_337.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_659.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_953.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_461.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_959.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_257.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_777.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_912.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_267.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_790.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_424.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_111.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_786.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_237.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_650.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_750.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_787.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_620.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_308.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_918.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_126.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_307.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_668.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_649.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_525.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_630.mp4,V
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_1000.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/NV_157.mp4,NV
/content/drive/MyDrive/final_project/Real_Life_Violence_Dataset/train_split/V_332.mp4,V
